trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-140.56770683119473,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-147.4287544846619,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,8.411908813757892,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-29.658398594401266,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-82.68309414017341,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,4,-176.21366797232426,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 4}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,14,-12.780108155210185,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-58.61962062434671,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-41.660750691239876,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,13,9.69729179035869,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,16,6.488877270730754,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,8,11.47129732239465,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,11,-21.189798440867456,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,15,2.5721846159656785,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,8,10.538503197080075,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,9,-18.505875116476304,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,9,19.09654360250504,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,17,14.114780356179729,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,18,13.69791743096925,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,3,5.153031037214079,"{0: 30, 1: 0, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,16.694016376160988,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,7,10.899211350260922,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,16,21.737937407453295,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,13,20.170272884260314,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,11,13.057302152205505,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,25.531832202558274,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,7,23.565960702555383,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,1,24.632039487910628,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,15,25.34403573876272,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,6.735190108479994,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
