trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",25,0,-54.24000376004755,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.81}",20,0,-99.55609014927903,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",30,0,-35.32892006680564,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.6561000000000001}",20,9,-15.15518995467016,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.5904900000000002}",20,0,-42.80869731832963,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.5314410000000002}",20,1,-0.2636393953281999,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.47829690000000014}",20,1,-33.75498995536762,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.43046721000000016}",35,0,0.6453683619387314,"{0: 30, 1: 2, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.38742048900000015}",30,0,-110.855598270244,"{0: 23, 1: 0, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.34867844010000015}",25,2,-64.72699719105302,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.31381059609000017}",30,8,-8.935043922684068,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.28242953648100017}",20,0,22.029316351324074,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.25418658283290013}",20,0,-1.718901097051099,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.22876792454961012}",20,15,10.376430750356302,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.2058911320946491}",25,7,-4.141164927451193,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.1853020188851842}",25,19,5.590437346659299,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",30,3,27.93312221463181,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1500946352969992}",25,0,-39.04704932931632,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.13508517176729928}",30,12,22.40687435488008,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.12157665459056936}",20,6,9.840397974061265,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.10941898913151243}",20,0,24.990542531263884,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.0984770902183612}",30,11,-10.31401628182061,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.08862938119652508}",20,0,11.142170903756929,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.07976644307687257}",25,8,-15.855285663173923,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.07178979876918531}",30,22,14.354542553923288,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.06461081889226679}",30,13,32.343814536897646,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.05814973700304011}",20,2,26.86232874570011,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.0523347633027361}",35,19,1.5777109055242595,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.04710128697246249}",25,0,35.06766377266673,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.042391158275216244}",25,14,20.600305260184875,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.03815204244769462}",20,3,-10.825439021045455,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.03433683820292516}",30,20,13.47030665001483,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.030903154382632643}",20,12,1.7927246669849826,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.02781283894436938}",25,0,36.211008339572764,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.025031555049932444}",20,7,13.186909466911189,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.0225283995449392}",35,18,32.57617247388445,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.020275559590445278}",20,0,-0.3000471223400272,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.01824800363140075}",20,12,13.195392675709098,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.016423203268260675}",25,8,23.724017502208522,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.014780882941434608}",20,0,29.626506538135924,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.013302794647291147}",20,11,21.586202620810788,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.011972515182562033}",25,13,11.204604161981857,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.01077526366430583}",20,8,20.31796782784004,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.009697737297875247}",20,9,19.418583854359845,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.008727963568087723}",20,12,16.580676795408237,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.00785516721127895}",25,19,10.72702486415631,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.007069650490151055}",20,7,19.06387977059722,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.00636268544113595}",20,3,14.787172394540805,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.005726416897022355}",20,8,18.499114052826723,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.00515377520732012}",20,13,12.391288063334517,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.004638397686588107}",25,11,23.996162009118354,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.0041745579179292966}",25,12,22.277674028179348,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.003757102126136367}",30,8,26.38912559762952,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.00338139191352273}",25,9,23.911132932437766,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.0030432527221704573}",25,8,30.44744854786826,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.0027389274499534117}",20,7,22.895724200553307,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.0024650347049580707}",25,11,23.881368115890876,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.0022185312344622636}",20,9,20.27943646943366,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.001996678111016037}",30,24,11.644726359898215,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.0017970102999144335}",25,16,19.43668277260457,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.0016173092699229901}",25,1,31.44424010543538,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.0014555783429306911}",20,9,15.428296709203433,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.001310020508637622}",20,6,20.80281408870097,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.0011790184577738598}",30,16,22.613067630191065,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.0010611166119964739}",30,13,23.674717713031345,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.0009550049507968265}",20,10,14.810322622941808,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,11,15.050219516206122,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,18,21.7926109866227,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,3,21.52941543785192,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,7,31.45124298420999,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,20,18.18040560728564,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
