trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.64294362975136,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.4745780293607,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.33662796472427,"{0: 14, 1: 4, 2: 10, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-199.87753881164795,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.8244007241859,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.78093280632712,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,10,-22.761427976596767,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.03433400579235,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.91844908574369,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-152.88469344556887,"{0: 24, 1: 2, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.59684225100618,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.70437388672593,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.424811519296526,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,10,-68.1185071527374,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.11015857574054,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.14818141243941,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,15,-13.149954972122899,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.33096073081616,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-123.57344956869613,"{0: 17, 1: 4, 2: 6, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.21709834497398,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.704162858018144,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.94324755826703,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-121.98301512503544,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-165.6405093843111,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.75967666190559,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,6,-64.64104400382656,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-192.84852940467064,"{0: 16, 1: 4, 2: 5, 3: 3, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.77318354853546,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-308.3923491477756,"{0: 15, 1: 3, 2: 11, 3: 2, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.4965823251868,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
